[1] 200- .--------------------------------------------------------------------=-.
[1] 200- | ## User         Location/Tagline         Files  Megabytes   Avg k/s   |
[1] 200- |-=-------------------------------------------------------------------=-|
[1] 200- [01] 898421       .                      132,946 1,837,10MB    839K/s
[1] 200- [136] stix         die                        789   11,138MB    853K/s
[1] 200- [137] judge        H/,RE//,                   780   10,956MB    579K/s
[1] 200- [138] teabag       tea anyone?                779   10,390MB    419K/s
[1] 200- [139] LastB        *shrugh*                   605   10,162MB    506K/s
[1] 200- [140] jernst                                  488   10,028MB    247K/s
[1] 200- [141] hashlinux    hi guys whats going on     549    9,837MB   2634K/s
[1] 200- [142] GNM          Daddy Oh                   583    9,200MB     83K/s
[1] 200- [143] MrBorG       E*N*R*A*G*E                359    9,175MB    803K/s
[1] 200- [144] irish        bllllaaaaaaaaaa            600    7,754MB    874K/s
[1] 200- [145] bigdog       yeeh                       320    7,657MB    164K/s
[1] 200- [146] darkangel    + AMNESiA iSO +            482    7,596MB    672K/s
[1] 200- [147] Bizarre      RARE SLUT                  351    7,003MB    416K/s
[1] 200- [148] Cazz         Dead Group Man             555    6,986MB    543K/s
[1] 200- [149] sync         illusional               1,197    6,472MB    770K/s
[1] 200- [150] fig          he                         199    6,368MB   1944K/s
[1] 200- [151] vst          blah                       507    5,559MB    614K/s
[1] 200- [152] Satan        No Fagline Set             349    5,208MB    157K/s
[1] 200- [153] mgmoe        wow                        262    5,132MB    986K/s
[1] 200- [154] AD-RARE      I'm Sexy                   359    4,790MB    555K/s
[1] 200- [155] joenin       turn and cough             250    4,772MB     95K/s
[1] 200- [156] Abraham      .                          341    4,075MB    968K/s
[1] 200- [157] IAmVEry      I love you too             240    3,650MB     85K/s
[1] 200- [158] deam         .d.i.s.t.a.n.c.e.          197    3,641MB   1428K/s
[1] 200- [159] invisible    make me tagline free       298    3,638MB    481K/s
[1] 200- [160] demi         (no tagline)               242    3,632MB    722K/s
[1] 200- [161] badlad       jagshamesh                 164    3,356MB   1309K/s
[1] 200- [162] fumita       kelso is no longer the     229    3,215MB    644K/s
[1] 200- [163] rek0p        taglines suk               238    3,016MB    410K/s
