[L] 200- .--------------------------------------------------------------------=-.
[L] 200- | ## User         Location/Tagline         Files  Megabytes   Avg k/s   |
[L] 200- |-=-------------------------------------------------------------------=-|
[L] 200- [181] edelweiss    - = LT = -                 268      845MB    625K/s
[L] 200- [182] kytron       - LT -                     138      814MB    806K/s
[L] 200- [183] tzatziki     No Tagline Set              32      802MB    349K/s
[L] 200- [184] holden       No Tagline Set             100      752MB    250K/s
[L] 200- [185] falcon       No Tagline Set              26      733MB    217K/s
[L] 200- [186] sick         No Tagline Set              80      723MB     71K/s
[L] 200- [187] Andain       No Tagline Set             116      706MB    304K/s
[L] 200- [188] voven        LONG CHOW PRODUCTIONS      121      700MB   1112K/s
[L] 200- [189] defiler      Money Is Power Motherf      91      537MB    674K/s
[L] 200- [190] Qutiz        No Tagline Set               9      429MB    623K/s
[L] 200- [191] outsider     No Tagline Set              24      420MB    906K/s
[L] 200- [192] ubik         No Tagline Set              66      376MB    128K/s
[L] 200- [193] phatjudge    JUST:DGN:CHR:AES            49      327MB    238K/s
[L] 200- [194] Zanix        No Tagline Set               7      294MB    207K/s
[L] 200- [195] nok          No Tagline Set              63      262MB    483K/s
[L] 200- [196] tijlman      No Tagline Set              38      250MB    281K/s
[L] 200- [197] greytapes    No Tagline Set              47      219MB    282K/s
[L] 200- [198] mrzed        aod=all4114themself         53      185MB    506K/s
[L] 200- [199] twch0re1     No Tagline Set              39      184MB    593K/s
[L] 200- [200] rage         No Tagline Set              18      136MB    313K/s
[L] 200- [201] aznoh        No Tagline Set              25      105MB    104K/s
[L] 200- [202] blink        PASSIONE PER IL TRINE       15       82MB    546K/s
[L] 200- [203] snspre       No Tagline Set               9       56MB    773K/s
[L] 200- [204] crox         No Tagline Set              15       53MB    774K/s
[L] 200- [205] DiG-PRE      No Tagline Set               2       47MB    158K/s
[L] 200- [206] lat          No Tagline Set               3       28MB    113K/s
[L] 200- [207] nOBeLium     No Tagline Set               4       22MB    331K/s
[L] 200- [208] zerocool     No Tagline Set               1       14MB    431K/s
[L] 200- [209] cypher       No Tagline Set               6       11MB     30K/s
[L] 200- [210] slave        No Tagline Set               1       10MB   2210K/s
[L] 200- [211] Zwielicht    No Tagline Set               8        9MB    778K/s
[L] 200- [212] Arcade       No Tagline Set               2        1MB    165K/s
[L] 200- [213] speed        No Tagline Set               2        0MB     16K/s
[L] 200- [214] m00sci       No Tagline Set               1        0MB     10K/s

80.86.185.123:52518
81.169.175.161:62352

delarius Qks _Zeitlos
